lat,long,dan,vi,travel_time_dan,travel_time_vi,distance_dan,distance_vi,mins_dan,mins_vi,location
51.4,-0.3,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['64 Cranes Park, Kingston upon Thames, Surbiton KT5 8AS, UK'], 'rows': [{'elements': [{'distance': {'text': '22.7 km', 'value': 22741}, 'duration': {'text': '1 hour 5 mins', 'value': 3885}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['64 Cranes Park, Kingston upon Thames, Surbiton KT5 8AS, UK'], 'rows': [{'elements': [{'distance': {'text': '28.2 km', 'value': 28153}, 'duration': {'text': '1 hour 1 min', 'value': 3634}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 5 mins,1 hour 1 min,22.7 km,28.2 km,65,61,"64 Cranes Park, Kingston upon Thames, Surbiton KT5 8AS, UK"
51.4,-0.2897435897435897,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['40 Addison Gardens, Surbiton KT5 8DJ, UK'], 'rows': [{'elements': [{'distance': {'text': '23.6 km', 'value': 23588}, 'duration': {'text': '58 mins', 'value': 3462}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['40 Addison Gardens, Surbiton KT5 8DJ, UK'], 'rows': [{'elements': [{'distance': {'text': '26.3 km', 'value': 26295}, 'duration': {'text': '1 hour 3 mins', 'value': 3760}, 'status': 'OK'}]}], 'status': 'OK'}",58 mins,1 hour 3 mins,23.6 km,26.3 km,58,63,"40 Addison Gardens, Surbiton KT5 8DJ, UK"
51.4,-0.2794871794871795,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['18 Camellia Ln, Surbiton KT5 8LY, UK'], 'rows': [{'elements': [{'distance': {'text': '20.0 km', 'value': 19995}, 'duration': {'text': '56 mins', 'value': 3373}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['18 Camellia Ln, Surbiton KT5 8LY, UK'], 'rows': [{'elements': [{'distance': {'text': '25.4 km', 'value': 25407}, 'duration': {'text': '52 mins', 'value': 3122}, 'status': 'OK'}]}], 'status': 'OK'}",56 mins,52 mins,20.0 km,25.4 km,56,52,"18 Camellia Ln, Surbiton KT5 8LY, UK"
51.4,-0.2692307692307692,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['5 Franks Ave, New Malden KT3, UK'], 'rows': [{'elements': [{'distance': {'text': '19.3 km', 'value': 19347}, 'duration': {'text': '1 hour 4 mins', 'value': 3851}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['5 Franks Ave, New Malden KT3, UK'], 'rows': [{'elements': [{'distance': {'text': '24.7 km', 'value': 24738}, 'duration': {'text': '1 hour 3 mins', 'value': 3780}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 4 mins,1 hour 3 mins,19.3 km,24.7 km,64,63,"5 Franks Ave, New Malden KT3, UK"
51.4,-0.25897435897435894,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['7 Gloster Rd, New Malden KT3 3QH, UK'], 'rows': [{'elements': [{'distance': {'text': '18.8 km', 'value': 18809}, 'duration': {'text': '1 hour 2 mins', 'value': 3703}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['7 Gloster Rd, New Malden KT3 3QH, UK'], 'rows': [{'elements': [{'distance': {'text': '24.2 km', 'value': 24198}, 'duration': {'text': '57 mins', 'value': 3392}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 2 mins,57 mins,18.8 km,24.2 km,62,57,"7 Gloster Rd, New Malden KT3 3QH, UK"
51.4,-0.24871794871794872,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['153 Blagdon Rd, New Malden KT3 4AN, UK'], 'rows': [{'elements': [{'distance': {'text': '19.0 km', 'value': 18978}, 'duration': {'text': '1 hour 3 mins', 'value': 3804}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['153 Blagdon Rd, New Malden KT3 4AN, UK'], 'rows': [{'elements': [{'distance': {'text': '24.4 km', 'value': 24367}, 'duration': {'text': '58 mins', 'value': 3493}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 3 mins,58 mins,19.0 km,24.4 km,63,58,"153 Blagdon Rd, New Malden KT3 4AN, UK"
51.4,-0.23846153846153845,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['16, Claremont Ave, New Malden KT3 6BH, UK'], 'rows': [{'elements': [{'distance': {'text': '18.7 km', 'value': 18712}, 'duration': {'text': '58 mins', 'value': 3456}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['16, Claremont Ave, New Malden KT3 6BH, UK'], 'rows': [{'elements': [{'distance': {'text': '24.2 km', 'value': 24181}, 'duration': {'text': '1 hour 0 mins', 'value': 3625}, 'status': 'OK'}]}], 'status': 'OK'}",58 mins,1 hour 0 mins,18.7 km,24.2 km,58,60,"16, Claremont Ave, New Malden KT3 6BH, UK"
51.4,-0.2282051282051282,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['14 Meadway, London SW20 9HY, UK'], 'rows': [{'elements': [{'distance': {'text': '17.4 km', 'value': 17398}, 'duration': {'text': '58 mins', 'value': 3498}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['14 Meadway, London SW20 9HY, UK'], 'rows': [{'elements': [{'distance': {'text': '22.9 km', 'value': 22867}, 'duration': {'text': '59 mins', 'value': 3558}, 'status': 'OK'}]}], 'status': 'OK'}",58 mins,59 mins,17.4 km,22.9 km,58,59,"14 Meadway, London SW20 9HY, UK"
51.4,-0.21794871794871795,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['257 Cannon Hill Ln, London SW20 9DB, UK'], 'rows': [{'elements': [{'distance': {'text': '17.7 km', 'value': 17688}, 'duration': {'text': '1 hour 11 mins', 'value': 4232}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['257 Cannon Hill Ln, London SW20 9DB, UK'], 'rows': [{'elements': [{'distance': {'text': '22.2 km', 'value': 22244}, 'duration': {'text': '1 hour 7 mins', 'value': 4028}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 11 mins,1 hour 7 mins,17.7 km,22.2 km,71,67,"257 Cannon Hill Ln, London SW20 9DB, UK"
51.4,-0.20769230769230768,"{'destination_addresses': [""British Broadcasting Corporati, Shepherd's Bush, London W12, UK""], 'origin_addresses': ['34 Woodland Way, Morden SM4 4DS, UK'], 'rows': [{'elements': [{'distance': {'text': '17.6 km', 'value': 17561}, 'duration': {'text': '1 hour 8 mins', 'value': 4081}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Churchill Place, 1 Churchill Pl, Canary Wharf, London E14 5HP, UK'], 'origin_addresses': ['34 Woodland Way, Morden SM4 4DS, UK'], 'rows': [{'elements': [{'distance': {'text': '21.4 km', 'value': 21407}, 'duration': {'text': '58 mins', 'value': 3497}, 'status': 'OK'}]}], 'status': 'OK'}",1 hour 8 mins,58 mins,17.6 km,21.4 km,68,58,"34 Woodland Way, Morden SM4 4DS, UK"
